,gene_ids,feature_types,genome,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
PRKCZ-AS1,ENSG00000182873,Gene Expression,GRCh38,False,66,0.013221154,0.013134518,98.67788461538461,66.0,4.204693,52
FAAP20,ENSG00000162585,Gene Expression,GRCh38,False,1784,0.49439102,0.4017188,64.26282051282051,2468.0,7.8115683,1428
SKI,ENSG00000157933,Gene Expression,GRCh38,False,1887,0.5260417,0.42267725,62.199519230769226,2626.0,7.8735976,1416
AL590822.3,ENSG00000287356,Gene Expression,GRCh38,False,123,0.025040064,0.0247317,97.5360576923077,125.0,4.836282,90
MORN1,ENSG00000116151,Gene Expression,GRCh38,False,1229,0.3135016,0.27269655,75.38060897435898,1565.0,7.35628,870
AL589739.1,ENSG00000272161,Gene Expression,GRCh38,False,82,0.017227564,0.017080853,98.3573717948718,86.0,4.465908,50
AL513477.2,ENSG00000272420,Gene Expression,GRCh38,False,1075,0.2596154,0.23080643,78.46554487179486,1296.0,7.167809,747
RER1,ENSG00000157916,Gene Expression,GRCh38,False,2004,0.5891426,0.46319464,59.855769230769226,2941.0,7.986845,1575
PEX10,ENSG00000157911,Gene Expression,GRCh38,False,714,0.16666667,0.15415068,85.69711538461539,832.0,6.7250338,599
PLCH2,ENSG00000149527,Gene Expression,GRCh38,False,2334,0.7512019,0.5603024,53.245192307692314,3750.0,8.229777,1700
PANK4,ENSG00000157881,Gene Expression,GRCh38,False,892,0.20272435,0.18458928,82.13141025641025,1012.0,6.9206715,690
HES5,ENSG00000197921,Gene Expression,GRCh38,False,340,0.07391827,0.071313895,93.18910256410257,369.0,5.913503,291
AL139246.5,ENSG00000272449,Gene Expression,GRCh38,False,100,0.020032052,0.01983405,97.99679487179486,100.0,4.6151204,65
TNFRSF14,ENSG00000157873,Gene Expression,GRCh38,False,210,0.044471152,0.043510683,95.79326923076923,222.0,5.4071717,168
PRXL2B,ENSG00000157870,Gene Expression,GRCh38,False,644,0.14182693,0.13262954,87.09935897435898,708.0,6.5638556,512
TTC34,ENSG00000215912,Gene Expression,GRCh38,False,26,0.0052083335,0.005194817,99.47916666666666,26.0,3.295837,16
PRDM16-DT,ENSG00000177133,Gene Expression,GRCh38,False,59,0.012019231,0.011947574,98.81810897435898,60.0,4.1108737,53
PRDM16,ENSG00000142611,Gene Expression,GRCh38,False,18,0.0036057692,0.003599284,99.63942307692307,18.0,2.944439,10
ARHGEF16,ENSG00000130762,Gene Expression,GRCh38,False,92,0.019030448,0.018851634,98.15705128205127,95.0,4.564348,84
MEGF6,ENSG00000162591,Gene Expression,GRCh38,False,85,0.017227564,0.017080853,98.29727564102564,86.0,4.465908,62
TPRG1L,ENSG00000158109,Gene Expression,GRCh38,False,2121,0.6422276,0.4960536,57.512019230769226,3206.0,8.0730915,1679
WRAP73,ENSG00000116213,Gene Expression,GRCh38,False,992,0.23617789,0.21202427,80.12820512820514,1179.0,7.07327,767
TP73,ENSG00000078900,Gene Expression,GRCh38,False,359,0.07732372,0.07447993,92.80849358974359,386.0,5.9584246,262
SMIM1,ENSG00000235169,Gene Expression,GRCh38,False,64,0.013221154,0.013134518,98.71794871794873,66.0,4.204693,57
LRRC47,ENSG00000130764,Gene Expression,GRCh38,False,2019,0.57471955,0.45407718,59.55528846153846,2869.0,7.962067,1570
CEP104,ENSG00000116198,Gene Expression,GRCh38,False,567,0.12680289,0.119384326,88.64182692307693,633.0,6.452049,444
DFFB,ENSG00000169598,Gene Expression,GRCh38,False,453,0.096354164,0.09199028,90.92548076923077,481.0,6.177944,314
C1orf174,ENSG00000198912,Gene Expression,GRCh38,False,406,0.086939104,0.08336558,91.86698717948718,434.0,6.075346,324
AJAP1,ENSG00000196581,Gene Expression,GRCh38,False,645,0.1514423,0.14101534,87.07932692307692,756.0,6.629363,560
Z98886.1,ENSG00000287586,Gene Expression,GRCh38,False,13,0.0028044872,0.002800562,99.73958333333334,14.0,2.7080503,13
NPHP4,ENSG00000131697,Gene Expression,GRCh38,False,388,0.08273237,0.07948782,92.2275641025641,413.0,6.025866,317
KCNAB2,ENSG00000069424,Gene Expression,GRCh38,False,2111,0.63221157,0.48993587,57.71233974358974,3156.0,8.057378,1644
CHD5,ENSG00000116254,Gene Expression,GRCh38,False,1590,0.39903846,0.33578518,68.14903846153845,1992.0,7.5973964,1195
RPL22,ENSG00000116251,Gene Expression,GRCh38,False,4432,4.39984,1.6863693,11.217948717948723,21964.0,9.997206,2964
AL031847.1,ENSG00000226944,Gene Expression,GRCh38,False,69,0.013822115,0.013727461,98.61778846153845,69.0,4.248495,49
RNF207,ENSG00000158286,Gene Expression,GRCh38,False,590,0.12920673,0.12151538,88.18108974358975,645.0,6.4707994,419
ICMT,ENSG00000116237,Gene Expression,GRCh38,False,2070,0.7542067,0.5620167,58.53365384615385,3765.0,8.233768,1762
GPR153,ENSG00000158292,Gene Expression,GRCh38,False,240,0.050681088,0.04943861,95.1923076923077,253.0,5.5373344,207
ACOT7,ENSG00000097021,Gene Expression,GRCh38,False,2902,1.11879,0.7508452,41.86698717948718,5585.0,8.628018,2222
ESPN,ENSG00000187017,Gene Expression,GRCh38,False,1069,0.27504006,0.2429776,78.58573717948718,1373.0,7.2254815,934
TNFRSF25,ENSG00000215788,Gene Expression,GRCh38,False,3607,1.7588141,1.0148009,27.744391025641026,8780.0,9.080345,2371
PLEKHG5,ENSG00000171680,Gene Expression,GRCh38,False,1236,0.30588943,0.26688436,75.24038461538461,1527.0,7.331715,963
NOL9,ENSG00000162408,Gene Expression,GRCh38,False,911,0.21153846,0.19189101,81.75080128205127,1056.0,6.96319,709
ZBTB48,ENSG00000204859,Gene Expression,GRCh38,False,759,0.17508014,0.16133635,84.79567307692308,874.0,6.774224,590
KLHL21,ENSG00000162413,Gene Expression,GRCh38,False,1009,0.23457532,0.21072704,79.78766025641025,1171.0,7.066467,801
PHF13,ENSG00000116273,Gene Expression,GRCh38,False,358,0.075520836,0.07280504,92.82852564102564,377.0,5.934894,296
THAP3,ENSG00000041988,Gene Expression,GRCh38,False,953,0.2217548,0.20028819,80.90945512820514,1107.0,7.010312,752
DNAJC11,ENSG00000007923,Gene Expression,GRCh38,False,1219,0.30048078,0.26273403,75.58092948717949,1500.0,7.3138866,969
CAMTA1-DT,ENSG00000237436,Gene Expression,GRCh38,False,65,0.013020833,0.0129367905,98.69791666666666,65.0,4.189655,53
CAMTA1,ENSG00000171735,Gene Expression,GRCh38,False,2877,1.0631009,0.72421014,42.36778846153846,5307.0,8.57697,2216
AL359881.3,ENSG00000270171,Gene Expression,GRCh38,False,255,0.053886216,0.05248449,94.89182692307693,269.0,5.598422,188
AL359881.2,ENSG00000270035,Gene Expression,GRCh38,False,37,0.007411859,0.007384526,99.2588141025641,37.0,3.637586,30
AL359881.1,ENSG00000269978,Gene Expression,GRCh38,False,105,0.021434294,0.02120781,97.89663461538461,107.0,4.6821313,73
VAMP3,ENSG00000049245,Gene Expression,GRCh38,False,855,0.19611378,0.17907779,82.87259615384616,979.0,6.8875527,683
Z98884.2,ENSG00000269925,Gene Expression,GRCh38,False,16,0.0032051282,0.0032000027,99.67948717948718,16.0,2.8332133,14
PER3,ENSG00000049246,Gene Expression,GRCh38,False,2146,0.6542468,0.5033458,57.01121794871795,3266.0,8.091627,1602
PARK7,ENSG00000116288,Gene Expression,GRCh38,False,4069,3.0530849,1.3994783,18.489583333333336,15241.0,9.63181,2902
AL034417.4,ENSG00000284747,Gene Expression,GRCh38,False,14,0.0028044872,0.002800562,99.71955128205127,14.0,2.7080503,11
ERRFI1,ENSG00000116285,Gene Expression,GRCh38,False,1141,0.2734375,0.24171993,77.14342948717949,1365.0,7.219642,919
SLC45A1,ENSG00000162426,Gene Expression,GRCh38,False,1069,0.2596154,0.23080643,78.58573717948718,1296.0,7.167809,871
RERE,ENSG00000142599,Gene Expression,GRCh38,False,2631,0.89022434,0.6366955,47.29567307692307,4444.0,8.399535,1951
RERE-AS1,ENSG00000232912,Gene Expression,GRCh38,False,19,0.0038060897,0.003798865,99.61939102564102,19.0,2.9957323,15
ENO1,ENSG00000074800,Gene Expression,GRCh38,False,3874,2.9383013,1.3707495,22.395833333333336,14668.0,9.593492,2843
ENO1-AS1,ENSG00000230679,Gene Expression,GRCh38,False,18,0.0036057692,0.003599284,99.63942307692307,18.0,2.944439,16
SLC2A5,ENSG00000142583,Gene Expression,GRCh38,False,173,0.036057692,0.035422828,96.53445512820514,180.0,5.198497,142
GPR157,ENSG00000180758,Gene Expression,GRCh38,False,19,0.0038060897,0.003798865,99.61939102564102,19.0,2.9957323,14
MIR34AHG,ENSG00000228526,Gene Expression,GRCh38,False,42,0.008413462,0.008378266,99.15865384615384,42.0,3.7612002,34
H6PD,ENSG00000049239,Gene Expression,GRCh38,False,316,0.06750801,0.065326974,93.6698717948718,337.0,5.8230457,246
SPSB1,ENSG00000171621,Gene Expression,GRCh38,False,54,0.011418269,0.011353573,98.91826923076923,57.0,4.060443,39
LINC02606,ENSG00000284693,Gene Expression,GRCh38,False,24,0.005008013,0.0049955146,99.51923076923077,25.0,3.2580965,20
SLC25A33,ENSG00000171612,Gene Expression,GRCh38,False,630,0.15044071,0.1401451,87.3798076923077,751.0,6.6227365,563
TMEM201,ENSG00000188807,Gene Expression,GRCh38,False,597,0.1318109,0.12381892,88.04086538461539,658.0,6.4907236,488
PIK3CD,ENSG00000171608,Gene Expression,GRCh38,False,234,0.048677884,0.04753021,95.3125,243.0,5.497168,180
PIK3CD-AS2,ENSG00000231789,Gene Expression,GRCh38,False,16,0.0034054487,0.0033996634,99.67948717948718,17.0,2.8903718,14
CLSTN1,ENSG00000171603,Gene Expression,GRCh38,False,4268,3.7572114,1.5596616,14.503205128205131,18756.0,9.839322,2942
CTNNBIP1,ENSG00000178585,Gene Expression,GRCh38,False,1917,0.5420673,0.43312392,61.598557692307686,2706.0,7.9035964,1428
LZIC,ENSG00000162441,Gene Expression,GRCh38,False,817,0.19070514,0.17454568,83.6338141025641,952.0,6.859615,676
NMNAT1,ENSG00000173614,Gene Expression,GRCh38,False,118,0.02363782,0.023362773,97.63621794871796,118.0,4.7791233,103
RBP7,ENSG00000162444,Gene Expression,GRCh38,False,55,0.011217949,0.0111554945,98.89823717948718,56.0,4.0430512,40
UBE4B,ENSG00000130939,Gene Expression,GRCh38,False,1309,0.32792467,0.28361732,73.77804487179486,1637.0,7.4012313,981
KIF1B,ENSG00000054523,Gene Expression,GRCh38,False,3731,2.001803,1.0992131,25.260416666666664,9993.0,9.209741,2651
AL139424.2,ENSG00000284642,Gene Expression,GRCh38,False,366,0.07932692,0.07633763,92.66826923076923,396.0,5.9839363,286
PGD,ENSG00000142657,Gene Expression,GRCh38,False,1004,0.24078526,0.21574445,79.88782051282051,1202.0,7.0925736,812
CENPS,ENSG00000175279,Gene Expression,GRCh38,False,150,0.03104968,0.03057739,96.9951923076923,155.0,5.049856,129
CORT,ENSG00000241563,Gene Expression,GRCh38,False,98,0.020633012,0.020423034,98.03685897435898,103.0,4.644391,78
DFFA,ENSG00000160049,Gene Expression,GRCh38,False,712,0.15865384,0.14725885,85.73717948717949,792.0,6.675823,602
PEX14,ENSG00000142655,Gene Expression,GRCh38,False,644,0.14403045,0.13455752,87.09935897435898,719.0,6.5792513,521
CASZ1,ENSG00000130940,Gene Expression,GRCh38,False,31,0.0064102565,0.006389798,99.37900641025641,32.0,3.4965076,29
C1orf127,ENSG00000175262,Gene Expression,GRCh38,False,260,0.056290064,0.05476283,94.79166666666666,281.0,5.641907,230
TARDBP,ENSG00000120948,Gene Expression,GRCh38,False,1967,0.55809295,0.4434626,60.59695512820513,2786.0,7.932721,1477
AL109811.2,ENSG00000271895,Gene Expression,GRCh38,False,1446,0.37720352,0.320055,71.03365384615384,1883.0,7.5411525,1025
SRM,ENSG00000116649,Gene Expression,GRCh38,False,2000,0.60757214,0.47472504,59.93589743589743,3033.0,8.017637,1619
EXOSC10,ENSG00000171824,Gene Expression,GRCh38,False,1795,0.48417467,0.39485884,64.04246794871796,2417.0,7.790696,1288
AL109811.1,ENSG00000226849,Gene Expression,GRCh38,False,14,0.0028044872,0.002800562,99.71955128205127,14.0,2.7080503,10
EXOSC10-AS1,ENSG00000230337,Gene Expression,GRCh38,False,77,0.015625,0.015504187,98.45753205128204,78.0,4.3694477,68
MTOR,ENSG00000198793,Gene Expression,GRCh38,False,1640,0.4316907,0.35885605,67.1474358974359,2155.0,7.67601,1273
ANGPTL7,ENSG00000171819,Gene Expression,GRCh38,False,139,0.028445512,0.02804845,97.21554487179486,142.0,4.962845,110
UBIAD1,ENSG00000120942,Gene Expression,GRCh38,False,283,0.058894232,0.057225186,94.33092948717949,294.0,5.6869755,247
DISP3,ENSG00000204624,Gene Expression,GRCh38,False,620,0.13942307,0.13052206,87.5801282051282,696.0,6.5467854,544
FBXO2,ENSG00000116661,Gene Expression,GRCh38,False,3279,1.4014423,0.8760695,34.31490384615385,6996.0,8.853237,2446
FBXO44,ENSG00000132879,Gene Expression,GRCh38,False,3170,1.2760416,0.8224378,36.49839743589743,6370.0,8.759512,2271
FBXO6,ENSG00000116663,Gene Expression,GRCh38,False,352,0.07371795,0.07112735,92.94871794871796,368.0,5.9107966,305
MAD2L2,ENSG00000116670,Gene Expression,GRCh38,False,1007,0.24098557,0.21590587,79.82772435897436,1203.0,7.093405,803
DRAXIN,ENSG00000162490,Gene Expression,GRCh38,False,40,0.008213141,0.008179597,99.19871794871796,41.0,3.7376697,32
AGTRAP,ENSG00000177674,Gene Expression,GRCh38,False,197,0.042067308,0.041206535,96.0536858974359,210.0,5.351858,172
C1orf167,ENSG00000215910,Gene Expression,GRCh38,False,27,0.0056089745,0.0055933027,99.45913461538461,28.0,3.3672957,22
MTHFR,ENSG00000177000,Gene Expression,GRCh38,False,637,0.13842148,0.12964264,87.23958333333334,691.0,6.539586,484
CLCN6,ENSG00000011021,Gene Expression,GRCh38,False,1488,0.38902244,0.32860023,70.1923076923077,1942.0,7.5719886,1177
AL021155.5,ENSG00000285646,Gene Expression,GRCh38,False,21,0.004206731,0.0041979076,99.57932692307693,21.0,3.0910425,18
KIAA2013,ENSG00000116685,Gene Expression,GRCh38,False,802,0.18629807,0.1708376,83.93429487179486,930.0,6.8362594,635
PLOD1,ENSG00000083444,Gene Expression,GRCh38,False,716,0.16205929,0.15019368,85.65705128205127,809.0,6.6970344,580
MFN2,ENSG00000116688,Gene Expression,GRCh38,False,1877,0.5352564,0.4286974,62.39983974358974,2672.0,7.890957,1483
MIIP,ENSG00000116691,Gene Expression,GRCh38,False,984,0.23697917,0.21267225,80.28846153846155,1183.0,7.076654,777
TNFRSF1B,ENSG00000028137,Gene Expression,GRCh38,False,131,0.026842948,0.026488997,97.37580128205127,134.0,4.905275,104
VPS13D,ENSG00000048707,Gene Expression,GRCh38,False,1141,0.27103364,0.23983046,77.14342948717949,1353.0,7.2108183,903
DHRS3,ENSG00000162496,Gene Expression,GRCh38,False,255,0.053485576,0.052104264,94.89182692307693,267.0,5.590987,221
LRRC38,ENSG00000162494,Gene Expression,GRCh38,False,1109,0.29066506,0.25515765,77.78445512820514,1451.0,7.2806973,946
AL354712.1,ENSG00000259961,Gene Expression,GRCh38,False,247,0.051081732,0.049819853,95.05208333333334,255.0,5.5451775,211
PDPN,ENSG00000162493,Gene Expression,GRCh38,False,570,0.13561699,0.1271761,88.58173076923077,677.0,6.5191474,516
PRDM2,ENSG00000116731,Gene Expression,GRCh38,False,1367,0.35476762,0.30362993,72.6161858974359,1771.0,7.479864,1028
KAZN,ENSG00000189337,Gene Expression,GRCh38,False,2334,0.74759614,0.5582412,53.245192307692314,3732.0,8.224967,1744
TMEM51-AS1,ENSG00000175147,Gene Expression,GRCh38,False,388,0.08433493,0.08096683,92.2275641025641,421.0,6.0450053,269
TMEM51,ENSG00000171729,Gene Expression,GRCh38,False,365,0.07692308,0.074107975,92.68830128205127,384.0,5.9532433,277
EFHD2,ENSG00000142634,Gene Expression,GRCh38,False,979,0.23597756,0.2118622,80.3886217948718,1178.0,7.072422,758
CASP9,ENSG00000132906,Gene Expression,GRCh38,False,352,0.07471955,0.07205974,92.94871794871796,373.0,5.924256,287
DNAJC16,ENSG00000116138,Gene Expression,GRCh38,False,582,0.13100961,0.12311069,88.34134615384616,654.0,6.4846354,487
DDI2,ENSG00000197312,Gene Expression,GRCh38,False,519,0.112379804,0.10650169,89.60336538461539,561.0,6.331502,419
PLEKHM2,ENSG00000116786,Gene Expression,GRCh38,False,2254,0.6911058,0.52538264,54.84775641025641,3450.0,8.14642,1771
SLC25A34,ENSG00000162461,Gene Expression,GRCh38,False,579,0.12660256,0.11920652,88.4014423076923,632.0,6.4504704,418
FBLIM1,ENSG00000162458,Gene Expression,GRCh38,False,102,0.021233974,0.021011675,97.95673076923077,106.0,4.6728287,88
UQCRHL,ENSG00000233954,Gene Expression,GRCh38,False,67,0.013621795,0.013529852,98.65785256410257,68.0,4.2341065,52
AL450998.2,ENSG00000179743,Gene Expression,GRCh38,False,106,0.021233974,0.021011675,97.87660256410257,106.0,4.6728287,86
SPEN,ENSG00000065526,Gene Expression,GRCh38,False,1420,0.36177886,0.30879182,71.55448717948718,1806.0,7.4994235,1102
ZBTB17,ENSG00000116809,Gene Expression,GRCh38,False,713,0.16225961,0.15036605,85.71714743589743,810.0,6.698268,575
SRARP,ENSG00000183888,Gene Expression,GRCh38,False,154,0.032251604,0.03174244,96.9150641025641,161.0,5.0875964,121
HSPB7,ENSG00000173641,Gene Expression,GRCh38,False,246,0.052283652,0.05096271,95.07211538461539,261.0,5.5683446,188
CLCNKA,ENSG00000186510,Gene Expression,GRCh38,False,1287,0.35216346,0.30170587,74.21875,1758.0,7.472501,1098
CLCNKB,ENSG00000184908,Gene Expression,GRCh38,False,504,0.11057692,0.104879625,89.90384615384616,552.0,6.315358,391
FAM131C,ENSG00000185519,Gene Expression,GRCh38,False,2808,0.98517627,0.6857077,43.75,4918.0,8.50086,2092
EPHA2,ENSG00000142627,Gene Expression,GRCh38,False,125,0.026041666,0.025708357,97.49599358974359,130.0,4.8751974,106
ARHGEF19,ENSG00000142632,Gene Expression,GRCh38,False,43,0.008613782,0.008576895,99.1386217948718,43.0,3.7841897,39
AL109627.1,ENSG00000288398,Gene Expression,GRCh38,False,102,0.020633012,0.020423034,97.95673076923077,103.0,4.644391,89
CPLANE2,ENSG00000132881,Gene Expression,GRCh38,False,23,0.004607372,0.0045967908,99.53926282051282,23.0,3.1780539,20
FBXO42,ENSG00000037637,Gene Expression,GRCh38,False,861,0.19471154,0.17790477,82.75240384615384,972.0,6.880384,656
SZRD1,ENSG00000055070,Gene Expression,GRCh38,False,1048,0.25661057,0.22841807,79.00641025641025,1281.0,7.1561766,848
NECAP2,ENSG00000157191,Gene Expression,GRCh38,False,545,0.120192304,0.11350037,89.08253205128204,600.0,6.398595,448
AL137802.2,ENSG00000261135,Gene Expression,GRCh38,False,175,0.036458332,0.03580945,96.49439102564102,182.0,5.209486,129
LINC01783,ENSG00000233421,Gene Expression,GRCh38,False,15,0.0030048077,0.0030003022,99.69951923076923,15.0,2.7725887,14
NBPF1,ENSG00000219481,Gene Expression,GRCh38,False,521,0.115785256,0.109558426,89.56330128205127,578.0,6.3613024,403
CROCC,ENSG00000058453,Gene Expression,GRCh38,False,1279,0.317508,0.27574208,74.37900641025641,1585.0,7.3689704,936
BX284668.5,ENSG00000238142,Gene Expression,GRCh38,False,550,0.11879007,0.1122478,88.9823717948718,593.0,6.3868794,457
BX284668.6,ENSG00000272426,Gene Expression,GRCh38,False,12,0.0024038462,0.0024009617,99.75961538461539,12.0,2.5649493,12
